TIMESTAMP_MS,PULSE_BPM,SPO2_PCT,PLETH,RED_ADC,IR_ADC
0,97,100,7216,230172,275023
10,97,100,7300,229823,274057
20,97,100,7885,229554,273375
30,97,100,9154,229371,272920
40,97,100,11153,229294,272723
50,97,100,14019,229317,272717
60,97,100,17755,229364,272803
70,97,100,22273,229388,272930
80,97,100,27443,229461,273065
90,97,100,32997,229507,273191
100,97,100,38755,229528,273263
110,97,100,44435,229493,273297
120,97,100,49754,229507,273270
130,97,100,54568,229506,273244
140,97,100,58640,229481,273237
150,97,100,61922,229540,273385
160,97,100,62258,229628,273528
170,97,100,62258,229637,273712
180,97,100,61980,229748,273975
190,97,100,61631,229873,274333
200,97,100,61044,229938,274563
210,97,100,59949,229967,274711
220,97,100,58386,229975,274737
230,97,100,56471,230002,274722
240,97,100,54245,229929,274622
250,97,100,51823,229946,274619
260,97,100,49321,229937,274576
270,97,100,46858,229921,274574
280,97,100,44510,229919,274675
290,97,100,42394,230007,274757
300,97,100,40511,230017,274869
310,97,100,38901,230085,275081
320,97,100,37563,230143,275215
330,97,100,36499,230207,275374
340,97,100,35671,230224,275584
350,97,100,34998,230317,275811
360,97,100,34444,230368,275947
370,97,100,33927,230446,276110
380,97,100,33368,230495,276251
390,97,100,32767,230574,276411
400,97,100,32083,230590,276494
410,97,100,31316,230634,276650
420,97,100,30344,230677,276731
430,97,100,29248,230703,276798
440,97,100,28067,230711,276881
450,97,100,26720,230756,276965
460,97,100,25288,230776,277031
470,97,100,23853,230794,277096
480,97,100,22414,230827,277142
490,97,100,21055,230837,277261
500,97,100,19734,230887,277336
510,97,100,18494,230902,277455
520,97,100,17374,230997,277572
530,97,100,16336,231059,277759
540,97,100,15420,231113,277929
550,97,100,14586,231135,278044
560,97,100,13833,231209,278117
570,97,100,13122,231237,278175
580,97,100,12410,231220,278135
590,97,100,11740,231134,277897
600,97,100,11152,230853,277266
610,97,100,10564,230549,276496
620,97,100,10142,230161,275500
630,97,100,9925,229789,274513
640,97,100,10121,229475,273670
650,97,100,10852,229244,273112
660,97,100,12202,229114,272791
670,97,100,14336,229126,272697
680,97,100,17298,229168,272813
690,97,100,21007,229207,272961
700,97,100,25344,229239,273051
710,97,100,30150,229324,273270
720,97,100,35222,229365,273318
730,97,100,40353,229376,273346
740,97,100,45287,229338,273355
750,97,100,49809,229365,273413
760,97,100,53791,229378,273392
770,97,100,57060,229405,273478
780,97,100,59575,229457,273645
790,97,100,61291,229533,273876
800,97,100,62133,229611,274139
810,97,100,61768,229740,274512
820,97,100,61361,229812,274755
